"id","year","state_name","state_code","mode_of_transport","offenders","victims"
165,"2018","Himachal Pradesh","2","Tractor",32.0,13.0
166,"2018","Himachal Pradesh","2","Truck/Lorry",39.0,82.0
167,"2018","Himachal Pradesh","2","Two Wheeler",156.0,103.0
168,"2018","Jammu And Kashmir","1","Animal Drawn Vehicle",0.0,0.0
169,"2018","Jammu And Kashmir","1","Bicycle",0.0,0.0
170,"2018","Jammu And Kashmir","1","Bus",59.0,57.0
171,"2018","Jammu And Kashmir","1","Car",106.0,125.0
172,"2018","Jammu And Kashmir","1","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
173,"2018","Jammu And Kashmir","1","Jeep",3.0,5.0
174,"2018","Jammu And Kashmir","1","Other Motor Vehicles",58.0,35.0
175,"2018","Jammu And Kashmir","1","Others",2.0,6.0
176,"2018","Jammu And Kashmir","1","Pedestrian",6.0,52.0
177,"2018","Jammu And Kashmir","1","Suv/Station Wagon/Etc.",28.0,50.0
178,"2018","Jammu And Kashmir","1","Three Wheeler/Auto Rickshaw",11.0,15.0
179,"2018","Jammu And Kashmir","1","Tractor",9.0,16.0
180,"2018","Jammu And Kashmir","1","Truck/Lorry",66.0,62.0
181,"2018","Jammu And Kashmir","1","Two Wheeler",127.0,88.0
182,"2018","Jharkhand","20","Animal Drawn Vehicle",0.0,0.0
183,"2018","Jharkhand","20","Bicycle",19.0,24.0
184,"2018","Jharkhand","20","Bus",93.0,241.0
185,"2018","Jharkhand","20","Car",174.0,188.0
186,"2018","Jharkhand","20","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
187,"2018","Jharkhand","20","Jeep",114.0,69.0
188,"2018","Jharkhand","20","Other Motor Vehicles",5.0,0.0
189,"2018","Jharkhand","20","Others",0.0,0.0
190,"2018","Jharkhand","20","Pedestrian",29.0,34.0
191,"2018","Jharkhand","20","Suv/Station Wagon/Etc.",87.0,79.0
192,"2018","Jharkhand","20","Three Wheeler/Auto Rickshaw",222.0,135.0
193,"2018","Jharkhand","20","Tractor",42.0,26.0
194,"2018","Jharkhand","20","Truck/Lorry",202.0,186.0
195,"2018","Jharkhand","20","Two Wheeler",900.0,673.0
196,"2018","Karnataka","29","Animal Drawn Vehicle",0.0,1.0
197,"2018","Karnataka","29","Bicycle",0.0,13.0
198,"2018","Karnataka","29","Bus",123.0,617.0
199,"2018","Karnataka","29","Car",505.0,1034.0
200,"2018","Karnataka","29","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
201,"2018","Karnataka","29","Jeep",152.0,80.0
202,"2018","Karnataka","29","Other Motor Vehicles",84.0,162.0
203,"2018","Karnataka","29","Others",225.0,124.0
204,"2018","Karnataka","29","Pedestrian",4.0,719.0
205,"2018","Karnataka","29","Suv/Station Wagon/Etc.",63.0,111.0
206,"2018","Karnataka","29","Three Wheeler/Auto Rickshaw",194.0,374.0
207,"2018","Karnataka","29","Tractor",78.0,154.0
208,"2018","Karnataka","29","Truck/Lorry",438.0,715.0
209,"2018","Karnataka","29","Two Wheeler",2545.0,2475.0
210,"2018","Kerala","32","Animal Drawn Vehicle",0.0,1.0
211,"2018","Kerala","32","Bicycle",6.0,64.0
212,"2018","Kerala","32","Bus",37.0,177.0
213,"2018","Kerala","32","Car",79.0,361.0
214,"2018","Kerala","32","Hand Drawn Vehicle/ Cycle Rickshaw",1.0,3.0
215,"2018","Kerala","32","Jeep",6.0,39.0
216,"2018","Kerala","32","Other Motor Vehicles",6.0,18.0
217,"2018","Kerala","32","Others",0.0,34.0
218,"2018","Kerala","32","Pedestrian",18.0,915.0
219,"2018","Kerala","32","Suv/Station Wagon/Etc.",6.0,26.0
220,"2018","Kerala","32","Three Wheeler/Auto Rickshaw",29.0,184.0
221,"2018","Kerala","32","Tractor",1.0,5.0
222,"2018","Kerala","32","Truck/Lorry",62.0,173.0
223,"2018","Kerala","32","Two Wheeler",236.0,1816.0
224,"2018","Lakshadweep","31","Animal Drawn Vehicle",0.0,0.0
225,"2018","Lakshadweep","31","Bicycle",0.0,0.0
226,"2018","Lakshadweep","31","Bus",0.0,0.0
227,"2018","Lakshadweep","31","Car",0.0,0.0
228,"2018","Lakshadweep","31","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
229,"2018","Lakshadweep","31","Jeep",0.0,0.0
230,"2018","Lakshadweep","31","Other Motor Vehicles",0.0,0.0
231,"2018","Lakshadweep","31","Others",0.0,0.0
232,"2018","Lakshadweep","31","Pedestrian",0.0,0.0
233,"2018","Lakshadweep","31","Suv/Station Wagon/Etc.",0.0,0.0
234,"2018","Lakshadweep","31","Three Wheeler/Auto Rickshaw",0.0,0.0
235,"2018","Lakshadweep","31","Tractor",0.0,0.0
236,"2018","Lakshadweep","31","Truck/Lorry",0.0,0.0
237,"2018","Lakshadweep","31","Two Wheeler",1.0,0.0
238,"2018","Madhya Pradesh","23","Animal Drawn Vehicle",7.0,11.0
239,"2018","Madhya Pradesh","23","Bicycle",47.0,116.0
240,"2018","Madhya Pradesh","23","Bus",186.0,463.0
241,"2018","Madhya Pradesh","23","Car",482.0,729.0
242,"2018","Madhya Pradesh","23","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,3.0
243,"2018","Madhya Pradesh","23","Jeep",151.0,290.0
244,"2018","Madhya Pradesh","23","Other Motor Vehicles",61.0,397.0
245,"2018","Madhya Pradesh","23","Others",67.0,226.0
246,"2018","Madhya Pradesh","23","Pedestrian",113.0,879.0
247,"2018","Madhya Pradesh","23","Suv/Station Wagon/Etc.",171.0,296.0
248,"2018","Madhya Pradesh","23","Three Wheeler/Auto Rickshaw",97.0,176.0
249,"2018","Madhya Pradesh","23","Tractor",210.0,451.0
250,"2018","Madhya Pradesh","23","Truck/Lorry",503.0,1018.0
251,"2018","Madhya Pradesh","23","Two Wheeler",1935.0,2342.0
252,"2018","Maharashtra","27","Animal Drawn Vehicle",14.0,6.0
253,"2018","Maharashtra","27","Bicycle",34.0,43.0
254,"2018","Maharashtra","27","Bus",98.0,446.0
255,"2018","Maharashtra","27","Car",414.0,962.0
256,"2018","Maharashtra","27","Hand Drawn Vehicle/ Cycle Rickshaw",1.0,6.0
257,"2018","Maharashtra","27","Jeep",138.0,396.0
258,"2018","Maharashtra","27","Other Motor Vehicles",90.0,196.0
259,"2018","Maharashtra","27","Others",41.0,111.0
260,"2018","Maharashtra","27","Pedestrian",81.0,1140.0
261,"2018","Maharashtra","27","Suv/Station Wagon/Etc.",107.0,232.0
262,"2018","Maharashtra","27","Three Wheeler/Auto Rickshaw",147.0,473.0
263,"2018","Maharashtra","27","Tractor",80.0,198.0
264,"2018","Maharashtra","27","Truck/Lorry",611.0,1409.0
265,"2018","Maharashtra","27","Two Wheeler",2838.0,3551.0
266,"2018","Manipur","14","Animal Drawn Vehicle",0.0,0.0
267,"2018","Manipur","14","Bicycle",0.0,1.0
268,"2018","Manipur","14","Bus",1.0,3.0
269,"2018","Manipur","14","Car",7.0,21.0
270,"2018","Manipur","14","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
271,"2018","Manipur","14","Jeep",2.0,0.0
272,"2018","Manipur","14","Other Motor Vehicles",0.0,3.0
273,"2018","Manipur","14","Others",0.0,2.0
274,"2018","Manipur","14","Pedestrian",0.0,11.0
275,"2018","Manipur","14","Suv/Station Wagon/Etc.",0.0,0.0
276,"2018","Manipur","14","Three Wheeler/Auto Rickshaw",2.0,3.0
277,"2018","Manipur","14","Tractor",0.0,0.0
278,"2018","Manipur","14","Truck/Lorry",8.0,32.0
279,"2018","Manipur","14","Two Wheeler",22.0,17.0
280,"2018","Meghalaya","17","Animal Drawn Vehicle",0.0,0.0
281,"2018","Meghalaya","17","Bicycle",0.0,1.0
282,"2018","Meghalaya","17","Bus",4.0,1.0
283,"2018","Meghalaya","17","Car",18.0,24.0
284,"2018","Meghalaya","17","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
285,"2018","Meghalaya","17","Jeep",2.0,0.0
286,"2018","Meghalaya","17","Other Motor Vehicles",1.0,0.0
287,"2018","Meghalaya","17","Others",0.0,1.0
288,"2018","Meghalaya","17","Pedestrian",3.0,4.0
289,"2018","Meghalaya","17","Suv/Station Wagon/Etc.",10.0,11.0
290,"2018","Meghalaya","17","Three Wheeler/Auto Rickshaw",9.0,8.0
291,"2018","Meghalaya","17","Tractor",1.0,0.0
292,"2018","Meghalaya","17","Truck/Lorry",42.0,23.0
293,"2018","Meghalaya","17","Two Wheeler",19.0,14.0
294,"2018","Mizoram","15","Animal Drawn Vehicle",0.0,0.0
295,"2018","Mizoram","15","Bicycle",0.0,0.0
296,"2018","Mizoram","15","Bus",11.0,0.0
297,"2018","Mizoram","15","Car",6.0,5.0
298,"2018","Mizoram","15","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
299,"2018","Mizoram","15","Jeep",1.0,2.0
300,"2018","Mizoram","15","Other Motor Vehicles",2.0,0.0
301,"2018","Mizoram","15","Others",0.0,0.0
302,"2018","Mizoram","15","Pedestrian",0.0,0.0
303,"2018","Mizoram","15","Suv/Station Wagon/Etc.",3.0,4.0
304,"2018","Mizoram","15","Three Wheeler/Auto Rickshaw",4.0,4.0
305,"2018","Mizoram","15","Tractor",0.0,0.0
306,"2018","Mizoram","15","Truck/Lorry",5.0,5.0
307,"2018","Mizoram","15","Two Wheeler",9.0,1.0
308,"2018","Nagaland","13","Animal Drawn Vehicle",0.0,0.0
309,"2018","Nagaland","13","Bicycle",0.0,0.0
310,"2018","Nagaland","13","Bus",0.0,0.0
311,"2018","Nagaland","13","Car",10.0,2.0
312,"2018","Nagaland","13","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
313,"2018","Nagaland","13","Jeep",0.0,1.0
314,"2018","Nagaland","13","Other Motor Vehicles",0.0,0.0
315,"2018","Nagaland","13","Others",0.0,0.0
316,"2018","Nagaland","13","Pedestrian",1.0,0.0
317,"2018","Nagaland","13","Suv/Station Wagon/Etc.",1.0,4.0
318,"2018","Nagaland","13","Three Wheeler/Auto Rickshaw",0.0,1.0
319,"2018","Nagaland","13","Tractor",0.0,0.0
320,"2018","Nagaland","13","Truck/Lorry",8.0,4.0
321,"2018","Nagaland","13","Two Wheeler",3.0,0.0
322,"2018","Odisha","21","Animal Drawn Vehicle",0.0,0.0
323,"2018","Odisha","21","Bicycle",79.0,53.0
324,"2018","Odisha","21","Bus",31.0,159.0
325,"2018","Odisha","21","Car",205.0,324.0
326,"2018","Odisha","21","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
327,"2018","Odisha","21","Jeep",15.0,34.0
328,"2018","Odisha","21","Other Motor Vehicles",135.0,217.0
329,"2018","Odisha","21","Others",6.0,130.0
330,"2018","Odisha","21","Pedestrian",27.0,443.0
331,"2018","Odisha","21","Suv/Station Wagon/Etc.",89.0,86.0
332,"2018","Odisha","21","Three Wheeler/Auto Rickshaw",102.0,210.0
333,"2018","Odisha","21","Tractor",33.0,57.0
334,"2018","Odisha","21","Truck/Lorry",271.0,387.0
335,"2018","Odisha","21","Two Wheeler",1287.0,856.0
336,"2018","Puducherry","34","Animal Drawn Vehicle",0.0,0.0
337,"2018","Puducherry","34","Bicycle",30.0,0.0
338,"2018","Puducherry","34","Bus",5.0,0.0
339,"2018","Puducherry","34","Car",8.0,0.0
340,"2018","Puducherry","34","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
341,"2018","Puducherry","34","Jeep",0.0,0.0
342,"2018","Puducherry","34","Other Motor Vehicles",0.0,0.0
343,"2018","Puducherry","34","Others",4.0,0.0
344,"2018","Puducherry","34","Pedestrian",75.0,0.0
345,"2018","Puducherry","34","Suv/Station Wagon/Etc.",0.0,0.0
346,"2018","Puducherry","34","Three Wheeler/Auto Rickshaw",4.0,0.0
347,"2018","Puducherry","34","Tractor",0.0,0.0
348,"2018","Puducherry","34","Truck/Lorry",1.0,0.0
349,"2018","Puducherry","34","Two Wheeler",99.0,0.0
350,"2018","Punjab","3","Animal Drawn Vehicle",14.0,21.0
351,"2018","Punjab","3","Bicycle",18.0,76.0
352,"2018","Punjab","3","Bus",13.0,247.0
353,"2018","Punjab","3","Car",81.0,851.0
354,"2018","Punjab","3","Hand Drawn Vehicle/ Cycle Rickshaw",7.0,7.0
355,"2018","Punjab","3","Jeep",17.0,81.0
356,"2018","Punjab","3","Other Motor Vehicles",2.0,72.0
357,"2018","Punjab","3","Others",0.0,33.0
358,"2018","Punjab","3","Pedestrian",29.0,190.0
359,"2018","Punjab","3","Suv/Station Wagon/Etc.",29.0,210.0
360,"2018","Punjab","3","Three Wheeler/Auto Rickshaw",18.0,242.0
361,"2018","Punjab","3","Tractor",9.0,50.0
362,"2018","Punjab","3","Truck/Lorry",53.0,436.0
363,"2018","Punjab","3","Two Wheeler",353.0,1579.0
364,"2018","Rajasthan","8","Animal Drawn Vehicle",1.0,6.0
365,"2018","Rajasthan","8","Bicycle",9.0,16.0
366,"2018","Rajasthan","8","Bus",193.0,438.0
367,"2018","Rajasthan","8","Car",581.0,1057.0
368,"2018","Rajasthan","8","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
369,"2018","Rajasthan","8","Jeep",284.0,652.0
370,"2018","Rajasthan","8","Other Motor Vehicles",229.0,429.0
371,"2018","Rajasthan","8","Others",51.0,71.0
372,"2018","Rajasthan","8","Pedestrian",0.0,645.0
373,"2018","Rajasthan","8","Suv/Station Wagon/Etc.",143.0,269.0
374,"2018","Rajasthan","8","Three Wheeler/Auto Rickshaw",100.0,108.0
375,"2018","Rajasthan","8","Tractor",133.0,418.0
376,"2018","Rajasthan","8","Truck/Lorry",538.0,966.0
377,"2018","Rajasthan","8","Two Wheeler",1428.0,1555.0
378,"2018","Sikkim","11","Animal Drawn Vehicle",0.0,0.0
379,"2018","Sikkim","11","Bicycle",0.0,0.0
380,"2018","Sikkim","11","Bus",0.0,0.0
381,"2018","Sikkim","11","Car",12.0,1.0
382,"2018","Sikkim","11","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
383,"2018","Sikkim","11","Jeep",5.0,0.0
384,"2018","Sikkim","11","Other Motor Vehicles",0.0,0.0
385,"2018","Sikkim","11","Others",1.0,0.0
386,"2018","Sikkim","11","Pedestrian",0.0,0.0
387,"2018","Sikkim","11","Suv/Station Wagon/Etc.",14.0,17.0
388,"2018","Sikkim","11","Three Wheeler/Auto Rickshaw",1.0,0.0
389,"2018","Sikkim","11","Tractor",0.0,0.0
390,"2018","Sikkim","11","Truck/Lorry",11.0,3.0
391,"2018","Sikkim","11","Two Wheeler",5.0,1.0
392,"2018","Tamil Nadu","33","Animal Drawn Vehicle",0.0,0.0
393,"2018","Tamil Nadu","33","Bicycle",82.0,59.0
394,"2018","Tamil Nadu","33","Bus",341.0,1130.0
395,"2018","Tamil Nadu","33","Car",892.0,1709.0
396,"2018","Tamil Nadu","33","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
397,"2018","Tamil Nadu","33","Jeep",141.0,35.0
398,"2018","Tamil Nadu","33","Other Motor Vehicles",0.0,0.0
399,"2018","Tamil Nadu","33","Others",0.0,0.0
400,"2018","Tamil Nadu","33","Pedestrian",276.0,978.0
401,"2018","Tamil Nadu","33","Suv/Station Wagon/Etc.",66.0,225.0
402,"2018","Tamil Nadu","33","Three Wheeler/Auto Rickshaw",141.0,133.0
403,"2018","Tamil Nadu","33","Tractor",33.0,72.0
404,"2018","Tamil Nadu","33","Truck/Lorry",621.0,1317.0
405,"2018","Tamil Nadu","33","Two Wheeler",3192.0,773.0
406,"2018","Telangana","36","Animal Drawn Vehicle",0.0,1.0
407,"2018","Telangana","36","Bicycle",7.0,41.0
408,"2018","Telangana","36","Bus",44.0,382.0
409,"2018","Telangana","36","Car",154.0,853.0
410,"2018","Telangana","36","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
411,"2018","Telangana","36","Jeep",0.0,22.0
412,"2018","Telangana","36","Other Motor Vehicles",14.0,102.0
413,"2018","Telangana","36","Others",0.0,2.0
414,"2018","Telangana","36","Pedestrian",0.0,360.0
415,"2018","Telangana","36","Suv/Station Wagon/Etc.",5.0,237.0
416,"2018","Telangana","36","Three Wheeler/Auto Rickshaw",53.0,380.0
417,"2018","Telangana","36","Tractor",43.0,194.0
418,"2018","Telangana","36","Truck/Lorry",137.0,744.0
419,"2018","Telangana","36","Two Wheeler",758.0,2070.0
420,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Animal Drawn Vehicle",0.0,0.0
421,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Bicycle",0.0,0.0
422,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Bus",0.0,2.0
423,"2018","The Dadra And Nagar Haveli And Daman And Diu","38","Car",0.0,9.0
