"id","year","state_name","state_code","type_of_accident","cases","injured","died"
156,"2019","Maharashtra","27","Railway Accidents",6338.0,2435.0,3916.0
157,"2019","Maharashtra","27","Railway Crossing Accidents",0.0,0.0,0.0
158,"2019","Maharashtra","27","Road Accidents",27286.0,23289.0,14608.0
159,"2019","Manipur","14","Railway Accidents",0.0,0.0,0.0
160,"2019","Manipur","14","Railway Crossing Accidents",0.0,0.0,0.0
161,"2019","Manipur","14","Road Accidents",672.0,1055.0,156.0
162,"2019","Meghalaya","17","Railway Accidents",0.0,0.0,0.0
163,"2019","Meghalaya","17","Railway Crossing Accidents",0.0,0.0,0.0
164,"2019","Meghalaya","17","Road Accidents",236.0,287.0,176.0
165,"2019","Mizoram","15","Railway Accidents",0.0,0.0,0.0
166,"2019","Mizoram","15","Railway Crossing Accidents",0.0,0.0,0.0
167,"2019","Mizoram","15","Road Accidents",57.0,25.0,63.0
168,"2019","Nagaland","13","Railway Accidents",0.0,0.0,0.0
169,"2019","Nagaland","13","Railway Crossing Accidents",8.0,0.0,8.0
170,"2019","Nagaland","13","Road Accidents",26.0,59.0,22.0
171,"2019","Odisha","21","Railway Accidents",444.0,0.0,446.0
172,"2019","Odisha","21","Railway Crossing Accidents",0.0,0.0,0.0
173,"2019","Odisha","21","Road Accidents",11064.0,11177.0,5333.0
174,"2019","Puducherry","34","Railway Accidents",9.0,0.0,9.0
175,"2019","Puducherry","34","Railway Crossing Accidents",0.0,0.0,0.0
176,"2019","Puducherry","34","Road Accidents",1392.0,1619.0,147.0
177,"2019","Punjab","3","Railway Accidents",893.0,65.0,831.0
178,"2019","Punjab","3","Railway Crossing Accidents",0.0,0.0,0.0
179,"2019","Punjab","3","Road Accidents",6316.0,3726.0,4613.0
180,"2019","Rajasthan","8","Railway Accidents",803.0,30.0,775.0
181,"2019","Rajasthan","8","Railway Crossing Accidents",0.0,0.0,0.0
182,"2019","Rajasthan","8","Road Accidents",23478.0,22979.0,10563.0
183,"2019","Sikkim","11","Railway Accidents",0.0,0.0,0.0
184,"2019","Sikkim","11","Railway Crossing Accidents",0.0,0.0,0.0
185,"2019","Sikkim","11","Road Accidents",172.0,329.0,84.0
186,"2019","Tamil Nadu","33","Railway Accidents",2266.0,203.0,2081.0
187,"2019","Tamil Nadu","33","Railway Crossing Accidents",5.0,0.0,5.0
188,"2019","Tamil Nadu","33","Road Accidents",57228.0,67137.0,10525.0
189,"2019","Telangana","36","Railway Accidents",626.0,0.0,631.0
190,"2019","Telangana","36","Railway Crossing Accidents",0.0,0.0,0.0
