"id","year","state_name","state_code","mode_of_transport","injured","died"
195,"2021","Ladakh","37","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
196,"2021","Ladakh","37","Other Motor Vehicles",20.0,1.0
197,"2021","Ladakh","37","Others",0.0,0.0
198,"2021","Ladakh","37","Pedestrian",0.0,0.0
199,"2021","Ladakh","37","Suv / Car / Jeep / Etc.",126.0,29.0
200,"2021","Ladakh","37","Three Wheeler/Auto Rickshaw",0.0,0.0
201,"2021","Ladakh","37","Tractor",0.0,0.0
202,"2021","Ladakh","37","Truck/Lorry/Mini Truck",78.0,16.0
203,"2021","Ladakh","37","Two Wheeler",7.0,3.0
204,"2021","Lakshadweep","31","Animal Drawn Vehicle",0.0,0.0
205,"2021","Lakshadweep","31","Bicycle",0.0,0.0
206,"2021","Lakshadweep","31","Bus",0.0,0.0
207,"2021","Lakshadweep","31","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
208,"2021","Lakshadweep","31","Other Motor Vehicles",0.0,0.0
209,"2021","Lakshadweep","31","Others",0.0,0.0
210,"2021","Lakshadweep","31","Pedestrian",0.0,0.0
211,"2021","Lakshadweep","31","Suv / Car / Jeep / Etc.",0.0,0.0
212,"2021","Lakshadweep","31","Three Wheeler/Auto Rickshaw",0.0,0.0
213,"2021","Lakshadweep","31","Tractor",0.0,0.0
214,"2021","Lakshadweep","31","Truck/Lorry/Mini Truck",0.0,1.0
215,"2021","Lakshadweep","31","Two Wheeler",6.0,0.0
216,"2021","Madhya Pradesh","23","Animal Drawn Vehicle",29.0,9.0
217,"2021","Madhya Pradesh","23","Bicycle",360.0,61.0
218,"2021","Madhya Pradesh","23","Bus",1872.0,383.0
219,"2021","Madhya Pradesh","23","Hand Drawn Vehicle/ Cycle Rickshaw",24.0,5.0
220,"2021","Madhya Pradesh","23","Other Motor Vehicles",1902.0,462.0
221,"2021","Madhya Pradesh","23","Others",744.0,286.0
222,"2021","Madhya Pradesh","23","Pedestrian",4360.0,1239.0
223,"2021","Madhya Pradesh","23","Suv / Car / Jeep / Etc.",6621.0,1934.0
224,"2021","Madhya Pradesh","23","Three Wheeler/Auto Rickshaw",1900.0,452.0
225,"2021","Madhya Pradesh","23","Tractor",1204.0,440.0
226,"2021","Madhya Pradesh","23","Truck/Lorry/Mini Truck",3243.0,1150.0
227,"2021","Madhya Pradesh","23","Two Wheeler",24858.0,6059.0
228,"2021","Maharashtra","27","Animal Drawn Vehicle",31.0,46.0
229,"2021","Maharashtra","27","Bicycle",191.0,143.0
230,"2021","Maharashtra","27","Bus",802.0,256.0
231,"2021","Maharashtra","27","Hand Drawn Vehicle/ Cycle Rickshaw",2.0,3.0
232,"2021","Maharashtra","27","Other Motor Vehicles",287.0,339.0
233,"2021","Maharashtra","27","Others",0.0,0.0
234,"2021","Maharashtra","27","Pedestrian",1308.0,1383.0
235,"2021","Maharashtra","27","Suv / Car / Jeep / Etc.",4168.0,2104.0
236,"2021","Maharashtra","27","Three Wheeler/Auto Rickshaw",950.0,453.0
237,"2021","Maharashtra","27","Tractor",338.0,383.0
238,"2021","Maharashtra","27","Truck/Lorry/Mini Truck",2373.0,1646.0
239,"2021","Maharashtra","27","Two Wheeler",9226.0,7155.0
240,"2021","Manipur","14","Animal Drawn Vehicle",0.0,0.0
241,"2021","Manipur","14","Bicycle",13.0,7.0
242,"2021","Manipur","14","Bus",15.0,3.0
243,"2021","Manipur","14","Hand Drawn Vehicle/ Cycle Rickshaw",1.0,0.0
244,"2021","Manipur","14","Other Motor Vehicles",19.0,8.0
245,"2021","Manipur","14","Others",6.0,1.0
246,"2021","Manipur","14","Pedestrian",60.0,17.0
247,"2021","Manipur","14","Suv / Car / Jeep / Etc.",83.0,17.0
248,"2021","Manipur","14","Three Wheeler/Auto Rickshaw",13.0,1.0
249,"2021","Manipur","14","Tractor",0.0,0.0
250,"2021","Manipur","14","Truck/Lorry/Mini Truck",65.0,15.0
251,"2021","Manipur","14","Two Wheeler",229.0,41.0
252,"2021","Meghalaya","17","Animal Drawn Vehicle",0.0,0.0
253,"2021","Meghalaya","17","Bicycle",1.0,2.0
254,"2021","Meghalaya","17","Bus",51.0,9.0
255,"2021","Meghalaya","17","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
256,"2021","Meghalaya","17","Other Motor Vehicles",0.0,0.0
257,"2021","Meghalaya","17","Others",0.0,0.0
258,"2021","Meghalaya","17","Pedestrian",16.0,36.0
259,"2021","Meghalaya","17","Suv / Car / Jeep / Etc.",114.0,76.0
260,"2021","Meghalaya","17","Three Wheeler/Auto Rickshaw",10.0,1.0
261,"2021","Meghalaya","17","Tractor",0.0,0.0
262,"2021","Meghalaya","17","Truck/Lorry/Mini Truck",24.0,22.0
263,"2021","Meghalaya","17","Two Wheeler",47.0,41.0
264,"2021","Mizoram","15","Animal Drawn Vehicle",0.0,0.0
265,"2021","Mizoram","15","Bicycle",0.0,0.0
266,"2021","Mizoram","15","Bus",0.0,0.0
267,"2021","Mizoram","15","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
268,"2021","Mizoram","15","Other Motor Vehicles",0.0,4.0
269,"2021","Mizoram","15","Others",0.0,0.0
270,"2021","Mizoram","15","Pedestrian",0.0,3.0
271,"2021","Mizoram","15","Suv / Car / Jeep / Etc.",10.0,25.0
272,"2021","Mizoram","15","Three Wheeler/Auto Rickshaw",0.0,1.0
273,"2021","Mizoram","15","Tractor",7.0,1.0
274,"2021","Mizoram","15","Truck/Lorry/Mini Truck",4.0,14.0
275,"2021","Mizoram","15","Two Wheeler",7.0,16.0
276,"2021","Nagaland","13","Animal Drawn Vehicle",0.0,0.0
277,"2021","Nagaland","13","Bicycle",0.0,0.0
278,"2021","Nagaland","13","Bus",12.0,2.0
279,"2021","Nagaland","13","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
280,"2021","Nagaland","13","Other Motor Vehicles",0.0,0.0
281,"2021","Nagaland","13","Others",0.0,0.0
282,"2021","Nagaland","13","Pedestrian",0.0,1.0
283,"2021","Nagaland","13","Suv / Car / Jeep / Etc.",15.0,7.0
284,"2021","Nagaland","13","Three Wheeler/Auto Rickshaw",0.0,2.0
285,"2021","Nagaland","13","Tractor",0.0,0.0
286,"2021","Nagaland","13","Truck/Lorry/Mini Truck",8.0,7.0
287,"2021","Nagaland","13","Two Wheeler",0.0,4.0
288,"2021","Odisha","21","Animal Drawn Vehicle",0.0,0.0
289,"2021","Odisha","21","Bicycle",276.0,164.0
290,"2021","Odisha","21","Bus",476.0,171.0
291,"2021","Odisha","21","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
292,"2021","Odisha","21","Other Motor Vehicles",588.0,309.0
293,"2021","Odisha","21","Others",699.0,113.0
294,"2021","Odisha","21","Pedestrian",691.0,569.0
295,"2021","Odisha","21","Suv / Car / Jeep / Etc.",1395.0,576.0
296,"2021","Odisha","21","Three Wheeler/Auto Rickshaw",632.0,194.0
297,"2021","Odisha","21","Tractor",153.0,83.0
298,"2021","Odisha","21","Truck/Lorry/Mini Truck",838.0,462.0
299,"2021","Odisha","21","Two Wheeler",4034.0,2440.0
300,"2021","Puducherry","34","Animal Drawn Vehicle",0.0,0.0
301,"2021","Puducherry","34","Bicycle",56.0,0.0
302,"2021","Puducherry","34","Bus",17.0,4.0
303,"2021","Puducherry","34","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
